Element Code,Scientific Name,English Name,Biogeoclimatic Units,Provincial,BC List,Global,COSEWIC,SARA,Provincial FRPA,Land Use Objectives,CDC Mapped Locations - Public,CDC Mapped Locations - Confidential
PDPLM041N0,Lathrocasis tenerrima,slender gilia,IDFdm; PPdh,S2S3 (2019),Blue,G5 (1988),,,,,Y,
PDFAB250C0,Lathyrus japonicus,beach pea,,S5 (2019),Yellow,G5 (2016),,,,,,
PDFAB25040,Lathyrus lanszwertii var. bijugatus,pinewood peavine,IDFdm,S2 (2015),Red,G4 (1998),,,,,Y,
PDFAB250G0,Lathyrus latifolius,broad-leaved peavine,,SNA (2019),Exotic,GNR,,,,,,
PDFAB250J0,Lathyrus littoralis,silky beach pea,CDFmm; CWHvh; CWHwh; CWHxm,S2 (2019),Red,G3G4 (2013),T,,,,Y,
PDFAB250L7,Lathyrus nevadensis var. nevadensis,purple peavine,,S5 (2000),Yellow,G5T5 (2016),,,,,,
PDFAB250M0,Lathyrus ochroleucus,creamy peavine,,S5 (2019),Yellow,G5 (2016),,,,,,
PDFAB250P0,Lathyrus palustris,marsh peavine,,S4S5 (2019),Yellow,G5 (2016),,,,,,
PDFAB250U0,Lathyrus pratensis,meadow peavine,,SNA (2019),Exotic,GNR,,,,,,
PDFAB250Y0,Lathyrus sphaericus,grass peavine,,SNA (2019),Exotic,GNR,,,,,,
PDFAB25110,Lathyrus sylvestris,narrow-leaved everlasting peavine,,SNA (2019),Exotic,GNR,,,,,,
PMPOA3L040,Leersia oryzoides,rice cutgrass,,S4S5 (2019),Yellow,G5 (2016),,,,,,
PMLEM01020,Lemna minor,common duckweed,,S5 (2019),Yellow,G5 (2015),,,,,,
PMLEM010F0,Lemna minuta,least duckweed,,S3S4 (2019),Yellow,G4 (1992),,,,,,
PMLEM01070,Lemna trisulca,ivy-leaved duckweed,,S5 (2019),Yellow,G5 (2015),,,,,,
PMLEM010A0,Lemna turionifera,Turion duckweed,,S4S5 (2019),Yellow,G5 (2015),,,,,,
PDAST5P042,Leontodon saxatilis ssp. saxatilis,hairy hawkbit,,SNA (2019),Exotic,GNRTNR,,,,,,
PDLAM0U010,Leonurus cardiaca,common motherwort,,SNA (2019),Exotic,GNR,,,,,,
PDBRA0L030,Lepidium appelianum,globe-pod hoarycress,,SNA (2019),Exotic,GNR,,,,,,
PDBRA1M070,Lepidium campestre,field pepper-grass,,SNA (2019),Exotic,GNR,,,,,,
PDBRA0L021,Lepidium chalepense,Chalapa hoarycress,,SNA (2019),Exotic,GNRTNR,,,,,,
PDBRA1M090,Lepidium densiflorum,prairie pepper-grass,,S5 (2019),Yellow,G5 (2016),,,,,,
PDBRA0U010,Lepidium didymum,lesser swinecress,,SNA (2019),Exotic,GNR,,,,,,
PDBRA0L020,Lepidium draba,heart-podded hoarycress,,SNA (2019),Exotic,GNR,,,,,,
PDBRA1M0E0,Lepidium heterophyllum,Smith's pepper-grass,,SNA (2019),Exotic,GNR (1993),,,,,,
PDBRA1M0J0,Lepidium latifolium,broad-leaved pepper-grass,,SNA (2019),Exotic,GNR,,,,,,
PDBRA1M0Q0,Lepidium oxycarpum,sharp-pod peppergrass,,SU (2019),Unknown,G4 (1988),,,,,,
PDBRA1M0R0,Lepidium perfoliatum,clasping-leaved pepper-grass,,SNA (2019),Exotic,GNR,,,,,,
PDBRA1M0U0,Lepidium ramosissimum,branched pepper-grass,,SNA (2019),Exotic,G5 (2002),,,,,,
PDBRA1M0V0,Lepidium ruderale,roadside pepperweed,,SNA (2019),Exotic,GNR,,,,,,
PDBRA1M0W0,Lepidium sativum,garden cress,,SNA (2019),Exotic,GNR,,,,,,
PDBRA1M116,Lepidium virginicum ssp. menziesii,Menzies' pepperweed,,S5 (2019),Yellow,G5T5 (2018),,,,,,
NBHEP1S010,Lepidozia filamentosa,,,S3S4 (2015),Yellow,G3G5 (1999),,,,,,
NBHEP1S020,Lepidozia reptans,,,S4 (2021),Yellow,G5 (2013),,,,,,
NBHEP1S030,Lepidozia sandvicensis,,,S3 (2021),Blue,G3G5 (1999),,,,,,
PDSAX0K010,Leptarrhena pyrolifolia,leatherleaf saxifrage,,S5 (2019),Yellow,G5 (2016),,,,,,
NBMUS43010,Leptobryum pyriforme,,,S4S5 (2015),Yellow,G5 (2015),,,,,,
NBMUS44040,Leptodictyum riparium,,,S4 (2015),Yellow,G5 (2015),,,,,,
